Energy 2 			# in MeV 
Multiplicity PromptGamma 0.378966
Differential_cross_section PromptGamma 39 	 # Secondary particule & Nbr of rows (Energies) 
# 	Energy(MeV)	Int.(b/MeV)
	0.250000	2.757092e-05
	0.500000	3.757819e-05
	0.750000	1.425416e-04
	1.000000	3.812430e-04
	1.250000	1.217286e-03
	1.500000	6.937239e-05
	1.750000	6.231432e-05
	2.000000	4.856817e-05
	2.250000	4.460136e-05
	2.500000	4.714911e-05
	2.750000	5.138320e-05
	3.000000	5.471611e-05
	3.250000	5.717277e-05
	3.500000	5.881565e-05
	3.750000	5.972997e-05
	4.000000	6.001316e-05
	4.250000	5.976616e-05
	4.500000	5.908702e-05
	4.750000	5.806670e-05
	5.000000	5.678716e-05
	5.250000	5.531949e-05
	5.500000	5.372383e-05
	5.750000	5.204933e-05
	6.000000	5.033525e-05
	6.250000	4.861123e-05
	6.500000	4.689804e-05
	6.750000	3.100825e-05
	7.000000	7.281685e-05
	7.250000	3.555448e-05
	7.500000	0.000000e+00
	7.750000	1.502320e-05
	8.000000	7.469570e-05
	8.250000	0.000000e+00
	8.500000	0.000000e+00
	8.750000	1.323028e-04
	9.000000	0.000000e+00
	9.250000	0.000000e+00
	9.500000	0.000000e+00
	9.750000	5.640741e-05

#################################################################################################################################################

Energy 3 			# in MeV 
Multiplicity PromptGamma 0.548976
Differential_cross_section PromptGamma 43 	 # Secondary particule & Nbr of rows (Energies) 
# 	Energy(MeV)	Int.(b/MeV)
	0.250000	1.503993e-04
	0.500000	2.307299e-04
	0.750000	7.313174e-03
	1.000000	6.253859e-03
	1.250000	1.215058e-02
	1.500000	5.509416e-04
	1.750000	1.556893e-04
	2.000000	1.194336e-04
	2.250000	1.692759e-04
	2.500000	1.210595e-04
	2.750000	1.313436e-04
	3.000000	1.392535e-04
	3.250000	1.448378e-04
	3.500000	1.482068e-04
	3.750000	1.497323e-04
	4.000000	1.496469e-04
	4.250000	1.482158e-04
	4.500000	1.457034e-04
	4.750000	1.423512e-04
	5.000000	1.383759e-04
	5.250000	1.339643e-04
	5.500000	1.292705e-04
	5.750000	1.244246e-04
	6.000000	1.195251e-04
	6.250000	1.146504e-04
	6.500000	1.098581e-04
	6.750000	1.051842e-04
	7.000000	1.006514e-04
	7.250000	9.626701e-05
	7.500000	9.201486e-05
	7.750000	6.066960e-05
	8.000000	1.464110e-04
	8.250000	9.456530e-05
	8.500000	0.000000e+00
	8.750000	1.487146e-04
	9.000000	0.000000e+00
	9.250000	0.000000e+00
	9.500000	0.000000e+00
	9.750000	2.129673e-04
	10.000000	0.000000e+00
	10.250000	0.000000e+00
	10.500000	0.000000e+00
	10.750000	7.820510e-05

#################################################################################################################################################

Energy 4 			# in MeV 
Multiplicity PromptGamma 0.877035
Differential_cross_section PromptGamma 47 	 # Secondary particule & Nbr of rows (Energies) 
# 	Energy(MeV)	Int.(b/MeV)
	0.250000	4.233287e-03
	0.500000	8.026477e-03
	0.750000	6.220631e-02
	1.000000	9.439308e-02
	1.250000	7.089301e-02
	1.500000	2.720241e-02
	1.750000	2.962661e-03
	2.000000	2.131713e-03
	2.250000	1.183660e-03
	2.500000	2.385129e-04
	2.750000	1.937662e-04
	3.000000	1.756749e-04
	3.250000	1.849711e-04
	3.500000	1.815377e-04
	3.750000	1.822389e-04
	4.000000	1.824770e-04
	4.250000	1.802229e-04
	4.500000	1.770495e-04
	4.750000	1.728909e-04
	5.000000	1.680202e-04
	5.250000	1.626465e-04
	5.500000	1.569621e-04
	5.750000	1.511212e-04
	6.000000	1.452534e-04
	6.250000	1.394534e-04
	6.500000	1.337918e-04
	6.750000	1.283185e-04
	7.000000	1.230664e-04
	7.250000	1.180383e-04
	7.500000	1.132553e-04
	7.750000	1.086913e-04
	8.000000	1.043126e-04
	8.250000	1.000725e-04
	8.500000	9.585948e-05
	8.750000	1.296084e-04
	9.000000	8.318627e-05
	9.250000	8.798487e-05
	9.500000	0.000000e+00
	9.750000	1.567628e-04
	10.000000	0.000000e+00
	10.250000	0.000000e+00
	10.500000	0.000000e+00
	10.750000	2.044748e-04
	11.000000	0.000000e+00
	11.250000	0.000000e+00
