 106
  -6.90776  -0.54387  -6.80639  -0.57582  -6.70502  -0.61022  -6.60366  -0.64951
  -6.55297  -0.67176  -6.50229  -0.69615  -6.43037  -0.73491  -6.35845  -0.77868
  -6.28653  -0.82757  -6.21461  -0.88165  -6.16392  -0.92293  -6.11324  -0.96684
  -6.06256  -1.01338  -6.01188  -1.06258  -5.96119  -1.11442  -5.91051  -1.16892
  -5.85983  -1.22608  -5.80914  -1.28591  -5.73722  -1.37531  -5.66530  -1.46959
  -5.59338  -1.56825  -5.52146  -1.67078  -5.40989  -1.83646  -5.29832  -2.00917
  -5.20716  -2.15476  -5.11600  -2.30379  -4.97215  -2.54486  -4.82831  -2.79263
  -4.71674  -2.98911  -4.60517  -3.18907  -4.50380  -3.37357  -4.40244  -3.56052
  -4.30107  -3.74972  -4.19971  -3.94094  -4.05586  -4.21533  -3.91202  -4.49273
  -3.70929  -4.88767  -3.50656  -5.28599  -3.21888  -5.85484  -2.99573  -6.29799
  -2.81341  -6.66090  -2.52573  -7.23473  -2.30259  -7.68016  -1.89712  -8.49006
  -1.60944  -9.06537  -1.20397  -9.87607  -0.91629 -10.45132  -0.69315 -10.89774
  -0.51083 -11.26217  -0.22314 -11.83769   0.00000 -12.28403   0.02176 -12.32756
   0.22314 -12.73032   0.40547 -13.09475   0.69315 -13.67054   0.71491 -13.71386
   1.09861 -14.48124   1.38629 -15.05649   1.60944 -15.50291   1.79176 -15.86734
   1.94591 -16.17583   2.07944 -16.44286   2.19722 -16.67846   2.30259 -16.88920
   2.39790 -17.07965   2.48491 -17.25379   2.56495 -17.41382   2.63906 -17.56202
   2.70805 -17.69992   2.77259 -17.82901   2.89037 -18.06441   2.99573 -18.27571
   3.09104 -18.46610   3.17805 -18.64008   3.25810 -18.80019   3.33220 -18.94848
   3.40120 -19.08641   3.68888 -19.66201   3.91202 -20.10808   4.09434 -20.47329
   4.38203 -21.04872   4.60517 -21.49546   5.01064 -22.30606   5.29832 -22.88175
   5.70378 -23.69255   5.99146 -24.26787   6.21461 -24.71433   6.39693 -25.07923
   6.68461 -25.65430   6.90776 -26.10063   7.31322 -26.91123   7.60090 -27.48692
   8.00637 -28.29772   8.29405 -28.87304   8.51719 -29.31950   8.69951 -29.68441
   8.98720 -30.25947   9.21034 -30.70580   9.61581 -31.51640   9.90349 -32.09209
  10.30895 -32.90289  10.59663 -33.47821  10.81978 -33.92467  11.00210 -34.28958
  11.28978 -34.86465  11.51293 -35.31097
 108
  -6.90776   0.92307  -6.70502   0.89497  -6.60366   0.87796  -6.50229   0.85739
  -6.43037   0.84002  -6.35845   0.82006  -6.28653   0.79729  -6.21461   0.77150
