  0.0000000E+00  9.9999998E-03  2.0000000E-02  2.9999999E-02  3.9999999E-02
  5.0000001E-02  5.9999999E-02  7.0000000E-02  7.9999998E-02  9.0000004E-02
  0.1000000      0.1100000      0.1200000      0.1300000      0.1400000
  0.1500000      0.1600000      0.1700000      0.1800000      0.1900000
  0.2000000      0.2200000      0.2400000      0.2500000      0.2600000
  0.2800000      0.3000000      0.3200000      0.3400000      0.3500000
  0.3600000      0.3800000      0.4000000      0.4200000      0.4400000
  0.4500000      0.4600000      0.4800000      0.5000000      0.5500000
  0.6000000      0.6500000      0.7000000      0.8000000      0.9000000
   1.000000       1.100000       1.200000       1.300000       1.400000
   1.500000       1.600000       1.700000       1.800000       1.900000
   2.000000       2.200000       2.400000       2.500000       2.600000
   2.800000       3.000000       3.300000       3.500000       3.600000
   3.900000       4.000000       4.200000       4.600000       5.000000
   5.400000       5.500000       5.800000       6.000000       6.200000
   6.600000       7.000000       7.400000       8.000000       9.000000
   10.00000       11.00000       12.00000       14.00000       16.00000
   18.00000       20.00000       22.00000       25.00000       28.00000
   31.00000       35.00000       40.00000       45.00000       50.00000
   80.00000       100.0000       1000.000       1000000.      1.0000000E+09
   1.000000      0.9977900      0.9912100      0.9803900      0.9655400
  0.9469300      0.9249100      0.8998700      0.8722100      0.8423800
  0.8108200      0.7779500      0.7442000      0.7099400      0.6755300
  0.6412900      0.6074900      0.5743600      0.5421000      0.5108700
  0.4807800      0.4243700      0.3732700      0.3497400      0.3275300
  0.2869700      0.2512700      0.2199900      0.1927100      0.1804200
  0.1689700      0.1483400      0.1304400      0.1149000      0.1014100
  9.5339000E-02  8.9681000E-02  7.9480000E-02  7.0592001E-02  5.2988999E-02
  4.0325001E-02  3.1097000E-02  2.4285000E-02  1.5335000E-02  1.0091000E-02
  6.8811001E-03  4.8381998E-03  3.4932999E-03  2.5812001E-03  1.9461000E-03
  1.4937000E-03  1.1648000E-03  9.2110998E-04  7.3768001E-04  5.9754000E-04
  4.8902998E-04  3.3658999E-04  2.3905000E-04  2.0353000E-04  1.7436000E-04
  1.3010000E-04  9.9015997E-05  6.7863002E-05  5.3730000E-05  4.8041999E-05
  3.4952001E-05  3.1603999E-05  2.6027999E-05  1.8119001E-05  1.2997000E-05
  9.5634005E-06  8.8886000E-06  7.1917002E-06  6.2818999E-06  5.5115001E-06
  4.2943998E-06  3.3952999E-06  2.7197000E-06  1.9920001E-06  1.2443001E-06
  8.1675000E-07  5.5803002E-07  3.9410000E-07  2.1280000E-07  1.2476001E-07
  7.7900999E-08  5.1116000E-08  3.4915999E-08  2.0941000E-08  1.3309000E-08
  8.8582999E-09  5.4517999E-09  3.1959000E-09  1.9952000E-09  1.3091001E-09
  1.9976000E-10  8.1822001E-11  8.1823002E-15  8.1823003E-27  8.1823001E-39
   2.000000       1.998000       1.993000       1.984000       1.972000
   1.957000       1.939000       1.917000       1.893000       1.866000
   1.837000       1.806000       1.772000       1.737000       1.701000
   1.663000       1.624000       1.584000       1.543000       1.502000
   1.460000       1.377000       1.295000       1.254000       1.214000
   1.136000       1.060000      0.9880000      0.9200000      0.8870000
  0.8560000      0.7950000      0.7380000      0.6860000      0.6360000
