Energy 3 			# in MeV 
Cross_section 380.034800 	# in barn

Differential_cross_section 	# in deg and b/sr
5 8370.000000
10 531.000000
15 106.000000
20 33.000000
25 13.200000
30 6.200000
35 3.310000
40 1.950000
45 1.250000
50 0.860000
55 0.625000
60 0.474000
65 0.372000
70 0.300000
75 0.247000
80 0.207000
85 0.176000
90 0.151000
95 0.131000
100 0.115000
105 0.102000
110 0.091100
115 0.082300
120 0.075000
125 0.069100
130 0.064200
135 0.060300
140 0.057000
145 0.054500
150 0.052400
155 0.050800
160 0.049600
165 0.048700
170 0.048100
175 0.047700
180 0.047700


Energy 4 			# in MeV 
Cross_section 214.222000 	# in barn

Differential_cross_section 	# in deg and b/sr
5 4740.000000
10 300.000000
15 57.600000
20 17.200000
25 6.610000
30 3.050000
35 1.640000
40 1.000000
45 0.672000
50 0.486000
55 0.370000
60 0.292000
65 0.236000
70 0.195000
75 0.162000
80 0.137000
85 0.117000
90 0.101000
95 0.087300
100 0.076500
105 0.067800
110 0.060700
115 0.055000
120 0.050500
125 0.047000
130 0.044400
135 0.042400
140 0.041000
145 0.040000
150 0.039300
155 0.039000
160 0.038800
165 0.038700
170 0.038700
175 0.038700
180 0.038900


Energy 5 			# in MeV 
Cross_section 136.833000 	# in barn

Differential_cross_section 	# in deg and b/sr
5 3050.000000
10 189.000000
15 34.700000
20 9.940000
25 3.740000
30 1.740000
35 0.971000
40 0.620000
45 0.436000
50 0.326000
55 0.253000
60 0.201000
65 0.163000
70 0.134000
75 0.111000
80 0.093300
85 0.078900
90 0.067300
95 0.057900
100 0.050300
105 0.044200
110 0.039300
115 0.035600
120 0.032800
125 0.030900
130 0.029700
135 0.029100
140 0.029000
145 0.029300
150 0.029800
155 0.030500
160 0.031200
165 0.031800
170 0.032400
175 0.032700
180 0.033200


Energy 6 			# in MeV 
Cross_section 94.405160 	# in barn

Differential_cross_section 	# in deg and b/sr
5 2120.000000
10 128.000000
15 22.500000
20 6.260000
25 2.350000
30 1.130000
35 0.659000
40 0.438000
45 0.315000
50 0.237000
55 0.184000
60 0.147000
65 0.119000
70 0.098000
75 0.082000
80 0.069500
85 0.059400
90 0.051100
95 0.044300
100 0.038700
105 0.034100
110 0.030600
115 0.027900
120 0.026200
125 0.025200
130 0.025000
135 0.025300
140 0.026200
145 0.027500
150 0.028900
155 0.030500
160 0.032000
165 0.033300
170 0.034400
175 0.035000
180 0.035800


Energy 7 			# in MeV 
Cross_section 68.629320 	# in barn

Differential_cross_section 	# in deg and b/sr
5 1550.000000
10 90.400000
15 15.400000
20 4.230000
25 1.620000
30 0.811000
35 0.488000
40 0.328000
45 0.235000
50 0.175000
55 0.134000
60 0.106000
65 0.087100
70 0.073100
75 0.062600
80 0.054100
85 0.046900
90 0.040600
95 0.035100
100 0.030400
105 0.026600
110 0.023600
115 0.021600
120 0.020500
125 0.020200
130 0.020700
135 0.021800
140 0.023500
145 0.025500
150 0.027700
155 0.029900
160 0.032100
165 0.033900
170 0.035400
175 0.036300
180 0.037300


Energy 8 			# in MeV 
Cross_section 51.855830 	# in barn

Differential_cross_section 	# in deg and b/sr
5 1180.000000
10 66.600000
15 11.100000
20 3.050000
25 1.210000
30 0.626000
35 0.381000
40 0.252000
45 0.175000
50 0.127000
55 0.096200
60 0.077300
65 0.065300
70 0.057100
75 0.050500
80 0.044600
85 0.038800
90 0.033300
95 0.028100
100 0.023600
105 0.020000
110 0.017400
115 0.015900
120 0.015400
125 0.015700
130 0.016800
135 0.018500
140 0.020500
145 0.022900
150 0.025500
155 0.028000
160 0.030300
165 0.032400
170 0.034000
175 0.035000
180 0.036100


Energy 9 			# in MeV 
Cross_section 40.372680 	# in barn

Differential_cross_section 	# in deg and b/sr
5 924.000000
10 50.700000
15 8.320000
20 2.330000
25 0.960000
30 0.508000
35 0.304000
40 0.192000
45 0.126000
50 0.088100
55 0.067100
60 0.056300
65 0.050600
70 0.046700
75 0.042700
80 0.037900
85 0.032400
90 0.026600
95 0.021200
100 0.016600
105 0.013100
110 0.010900
115 0.010000
120 0.010100
125 0.011000
130 0.012500
135 0.014400
140 0.016500
145 0.018800
150 0.021100
155 0.023300
160 0.025500
165 0.027300
170 0.028700
175 0.029700
180 0.030700


Energy 10 			# in MeV 
Cross_section 32.222870 	# in barn

Differential_cross_section 	# in deg and b/sr
5 740.000000
10 39.600000
15 6.480000
20 1.880000
25 0.804000
30 0.427000
35 0.246000
40 0.145000
45 0.088600
50 0.059700
55 0.047400
60 0.043800
65 0.043200
70 0.042300
75 0.039500
80 0.034700
85 0.028700
90 0.022200
95 0.016300
100 0.011600
105 0.008490
110 0.006900
115 0.006630
120 0.007360
125 0.008710
130 0.010400
135 0.012100
140 0.013900
145 0.015600
